Country Name,Stringent Index,year,Gini Index,GDP per capita,Population Density,Hospital Beds,Quarter_only,Quarter,Marginal Mortality,Gini Category
Colombia,60.19,2020,53.5,5339.687114,45.63316539,1.69,Q4,2020Q4,34.00158210556481,Very High
Costa Rica,66.67,2020,49.2,12394.0494,98.59616138,1.15,Q4,2020Q4,25.445343164518743,High
Croatia,67.59,2020,29.5,14808.46202,69.9464975,5.6,Q4,2020Q4,92.99459456145128,Low
Czechia,73.15,2020,26.2,23472.89155,138.5759288,6.6,Q4,2020Q4,102.12324747627048,Low
Denmark,51.85,2020,27.5,60985.48856,145.7851,2.59,Q4,2020Q4,11.112246724802466,Low
Dominican Republic,70.37,2020,39.6,7162.291752,228.3973491,1.42,Q4,2020Q4,2.8069729204327643,Medium
Ecuador,73.15,2020,47.3,5463.645096,70.64770897,1.32,Q4,2020Q4,15.268380688205589,High
El Salvador,47.22,2020,39.0,3997.192796,300.9012066,1.08,Q4,2020Q4,7.763037452004299,Medium
Estonia,55.56,2020,30.7,23933.99394,31.09992982,4.46,Q4,2020Q4,12.410475343770168,Medium
Finland,52.31,2020,27.1,48828.68469,18.19287688,2.83,Q4,2020Q4,4.756270093206617,Low
France,63.89,2020,30.7,39169.8606,123.4594937,6.0,Q4,2020Q4,48.49032804343006,Medium
Georgia,84.26,2020,34.5,4300.857013,65.13027048,4.94,Q4,2020Q4,66.32254515251768,Medium
Germany,82.41,2020,32.4,47379.76519,238.0173188,7.8,Q4,2020Q4,28.35828883995215,Medium
Hungary,72.22,2020,29.7,16131.95404,106.8392395,6.76,Q4,2020Q4,89.96785587584354,Low
India,66.2,2020,33.8,1907.042516,471.7551502,1.62,Q4,2020Q4,3.587292544459166,Medium
Indonesia,68.06,2020,35.3,3853.702888,146.3712836,1.4,Q4,2020Q4,4.147519443143953,Medium
Ireland,84.26,2020,29.2,87567.1149,72.36728117,2.91,Q4,2020Q4,8.68539261384584,Low
Israel,82.41,2020,37.8,44679.77158,425.836414,3.07,Q4,2020Q4,18.67586895421645,Medium
Italy,82.41,2020,35.2,32091.48666,200.9991005,3.18,Q4,2020Q4,64.37708562031254,Medium
Jamaica,71.3,2020,40.2,4879.440246,261.379409,1.71,Q4,2020Q4,6.888660522923519,High
Kazakhstan,70.37,2020,28.7,8781.507978,7.216400711,6.72,Q4,2020Q4,3.4595829601064403,Low
Latvia,63.89,2020,35.7,17564.23215,30.53911297,5.3,Q4,2020Q4,31.466248239231884,Medium
Lithuania,82.41,2020,36.0,20541.82499,44.63246567,5.96,Q4,2020Q4,61.6483325789791,Medium
Luxembourg,67.59,2020,33.4,116905.3704,244.8742649,4.19,Q4,2020Q4,58.84974913509904,Medium
Malaysia,67.13,2020,40.7,9957.526267,103.1488601,1.97,Q4,2020Q4,0.9885050728604959,High
